PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,62,11.25,-15.48,-9.67,-8.8,-0.81,7.14,8.74,10.34,10.34,4.18,1.26,-6.45,-9.31,-0.71
TS,1984,62,11.875,-14.75,-9.29,-8.52,-1,7.54,9.23,10.89,10.78,4.43,1.53,-6.2,-9.06,-0.37
TS,1984,62,12.5,-14.08,-8.82,-8.26,-0.68,7.79,9.45,11.1,10.92,4.57,1.82,-5.74,-8.57,-0.04
TS,1984,62,5,1.18,2.85,2.66,4.91,7.96,10.41,12.48,12.92,10.54,8.96,5.94,5.18,7.17
TS,1984,62,5.625,-4.03,-0.71,-0.69,3.25,7.69,10.58,12.4,12.41,8.98,6.76,2.45,1.39,5.04
TS,1984,62,6.25,-10.38,-5.46,-5.89,0,6.8,10.18,11.68,11.34,6.75,3.73,-1.7,-3.81,1.94
TS,1984,62,6.875,-14.38,-8.94,-9.65,-2.41,3.66,6.08,9.2,8.85,4.02,0.83,-5.23,-7.23,-1.27
TS,1984,62,7.5,-17.39,-11.85,-12.66,-4.33,-1.49,0.98,6.47,6.2,1.4,-1.92,-8.66,-10.15,-4.45
TS,1984,62,8.125,-18.1,-12.23,-12.57,-4.43,0.35,3.64,7.2,6.91,1.64,-2.36,-9.53,-10.88,-4.2
TS,1984,62,8.75,-18.62,-12.41,-12.34,-4.35,2.48,6.07,7.88,7.6,1.93,-2.47,-9.96,-11.28,-3.79
TS,1984,62,9.375,-18.25,-11.9,-11.39,-3.42,4.32,7.05,8.84,8.62,2.63,-1.43,-9.28,-11.06,-2.94
TS,1984,62.5,10,-16.31,-10.42,-10.39,-3.18,4.92,7.67,9.43,9.5,3.3,-0.59,-7.5,-9.87,-1.95
TS,1984,62.5,10.625,-15.8,-9.83,-9.74,-2.59,6.51,8.1,9.69,9.85,3.65,0.12,-6.87,-9.41,-1.36
TS,1984,62.5,11.25,-15.25,-9.17,-9.09,-2.03,6.44,8.04,9.61,9.84,3.87,0.79,-6.23,-8.87,-1
TS,1984,62.5,11.875,-14.79,-9.02,-8.83,-1.57,6.67,8.42,9.99,10.11,4.03,1.05,-6.31,-8.82,-0.76
TS,1984,62.5,12.5,-14.3,-8.87,-8.68,-1.04,7.29,8.71,10.33,10.28,4.12,1.26,-6.37,-8.68,-0.5
TS,1984,62.5,5,5.1,5.46,4.83,5.69,7.25,9.91,12.15,12.61,11.3,9.99,8.29,7.53,8.34
TS,1984,62.5,5.625,3.77,4.49,3.95,5.22,7.45,10.08,12.32,12.68,11.04,9.7,7.59,6.75,7.92
TS,1984,62.5,6.25,-1.12,1.24,1.14,4.2,8.07,10.3,12.23,12.25,9.62,7.76,4.49,3.18,6.11
TS,1984,62.5,6.875,-6.27,-2.08,-1.54,3.46,8.38,10.22,12.1,11.78,8.09,5.67,1.07,-0.54,4.2
TS,1984,62.5,7.5,-10.95,-6.34,-6.39,0.09,3.67,6.95,10.45,10.11,5.63,2.37,-3.07,-5.19,0.61
TS,1984,62.5,8.125,-14.41,-9.3,-9.58,-1.99,2,5.87,9.54,9.24,4.11,0.28,-5.86,-8.29,-1.53
TS,1984,62.5,8.75,-15.69,-10.25,-10.48,-2.93,1.56,6.41,8.9,8.77,3.32,-0.67,-6.94,-9.2,-2.27
TS,1984,62.5,9.375,-16.48,-10.77,-10.94,-3.51,1.64,6.64,8.73,8.72,2.88,-1.13,-7.66,-9.93,-2.65
TS,1984,63,10,-11.47,-6.67,-7.06,-0.4,7.39,8.83,10.35,10.5,5.39,2.62,-3.45,-5.88,0.85
TS,1984,63,10.625,-11.08,-6.36,-6.87,-1.07,8.4,8.89,10.16,10.51,5.24,2.82,-3.22,-5.98,0.95
TS,1984,63,11.25,-12.01,-7.03,-7.48,-1.3,6.91,8.62,9.89,10.29,4.76,2.07,-4.11,-6.8,0.32
TS,1984,63,11.875,-13.23,-8,-8.45,-1.83,5.19,8.18,9.46,9.89,4.1,1.07,-5.31,-7.98,-0.58
TS,1984,63,12.5,-13.06,-7.86,-8.39,-1.36,6.31,8.26,9.64,9.9,4.08,1.28,-5.36,-7.9,-0.37
TS,1984,63,5,6.9,6.89,6.29,6.58,7.29,9.8,11.83,12.24,11.47,10.02,9.02,8.42,8.9
TS,1984,63,5.625,6.62,6.44,5.78,6.01,7.2,9.87,11.98,12.38,11.47,10.08,9.08,8.29,8.77
TS,1984,63,6.25,5.3,5.43,4.94,5.53,7.36,10.05,12.15,12.44,11.2,9.76,8.39,7.45,8.33
TS,1984,63,6.875,2.54,3.67,3.65,5.24,7.92,10.36,12.4,12.45,10.6,9.04,6.6,5.61,7.51
TS,1984,63,7.5,-1.11,1.02,1.26,4.4,8.59,10.52,12.47,12.33,9.76,7.82,4.27,2.85,6.18
TS,1984,63,8.125,-6.07,-2.52,-2.01,3.2,9.45,10.69,12.35,12.07,8.55,6.02,1.15,-0.91,4.33
TS,1984,63,8.75,-9.23,-4.92,-4.57,1.56,7.38,9.65,11.4,11.19,6.97,4.12,-1.37,-3.55,2.39
TS,1984,63,9.375,-11.4,-6.7,-6.94,0.02,5.55,8.54,10.37,10.35,5.52,2.53,-3.35,-5.59,0.74
